objectid,island,mapnum,mapname,zone,createdby,agency,publishdate,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,shape,st_area(shape),st_length(shape)
1,HAWAII,11,NORTH KOHALA,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(20.26707076100007, -155.85755643099998)",,
2,HAWAII,12,WAIPIO BAY,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(20.13347875900007, -155.60628640299998)",,
3,HAWAII,10,SOUTH KOHALA,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(20.047994636000055, -155.83571579099998)",,
4,HAWAII,13,LAUPAHOEHOE,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.994598118000056, -155.24766358699998)",,
5,HAWAII,14,HAKALAU BAY,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.905221186000063, -155.13031075199996)",,
6,HAWAII,15,WAILEA,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.883623026000066, -155.11958261399997)",,
7,HAWAII,9,KAILUA BAY TO KIHOLO BAY,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.88723600000003, -155.90489421799998)",,
8,HAWAII,2,HILO - PART 2,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.73446062000005, -155.03066471999998)",,
9,HAWAII,1,HILO - PART 1,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.71762687300003, -155.06020895599997)",,
10,HAWAII,3,SOUTH HILO / PUNA,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.729341348000048, -154.99819375299998)",,
11,HAWAII,8,KEAUHOU TO KAILUA,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.644767001000048, -156.00854168999996)",,
12,HAWAII,7,KEALAKEKUA TO KAILUA,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.552129303000072, -155.95830386699998)",,
13,HAWAII,6,MILOLII TO KEALAKEKUA,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.488168246000043, -155.93971865699996)",,
14,HAWAII,4,OPIHIKAO TO KAU / PUNA,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.435045296000055, -154.86639147699998)",,
15,HAWAII,5,PUNALUU TO HONUAPO / KAU,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.13858793600002, -155.49375259399997)",,
16,HAWAII,5,PUNALUU TO HONUAPO / KAU,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(19.09629162400006, -155.53654789399997)",,
17,MOLOKAI,6,KALAUPAPA TO KAUPIKIAWA,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(21.21134763500004, -156.96912025099996)",,
18,MOLOKAI,5,POHAKUMAULIULI,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(21.194461052000065, -157.24828194199998)",,
19,MOLOKAI,7,HALAWA,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(21.15936243400006, -156.73250731199997)",,
20,MOLOKAI,1,KAALAEA TO UALAPUE,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(21.06277149500005, -156.82693857399997)",,
21,MOLOKAI,3,KAPUKAULUA TO KAUNAKAKAI,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(21.060347057000058, -156.93051928899996)",,
22,MOLOKAI,4,HALENA TO KAPUKUWAHINE,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(21.092130317000056, -157.26741915099998)",,
23,MOLOKAI,2,UALAPUE TO KAPUKAULUA,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(21.060910656000033, -156.82584106799996)",,
24,MAUI,7,KALEIA KEALEKII PT. TO KEAWALUA,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(21.02520886600007, -156.63383529999996)",,
25,MAUI,6,HANAKAOO TO KAELEKII PT.,1,,,12/30/1899 12:00:00 AM +0000,,11/30/2016 12:00:00 AM +0000,,,,0,,"(20.99402189600005, -156.66518755199996)",,
